,cnt,pv1math,xb,fam,res,ins,lc
0,AUS,524.0841,524.13184,340.7732,47.134792,20.097446,524.13184
1,AUT,505.10312,501.10513,326.8658,46.62619,11.486744,501.10513
2,BEL,529.0885,534.2607,323.01663,41.922676,53.194973,534.2607
3,CAN,532.63654,518.45825,342.93292,43.710426,15.688511,518.45825
4,CHE,526.0944,496.15588,308.9975,49.95708,21.074923,496.15588
5,CZE,516.05634,515.5027,343.2791,31.429756,24.667397,515.5027
6,DEU,503.0789,496.59402,319.759,39.71126,20.997343,496.59402
7,DNK,513.7391,507.63037,324.83066,47.02109,19.652225,507.63037
8,ESP,485.56924,487.5865,318.7825,35.041546,17.63604,487.5865
9,FIN,544.1734,511.12363,327.49677,39.205654,28.294827,511.12363
10,GBR,508.02423,519.0853,339.62585,43.156483,20.1766,519.0853
11,GRC,444.54935,470.0206,319.64252,37.498093,-3.2464063,470.0206
12,HUN,490.33743,508.163,329.59854,35.04553,27.392551,508.163
13,IRL,503.48407,514.6456,320.47504,42.100487,35.943695,514.6456
14,ISL,514.71387,532.6427,359.1819,45.40043,11.933978,532.6427
15,ITA,465.7664,477.19244,327.53082,44.11129,-10.576084,477.19244
16,JPN,533.6448,530.7672,344.8158,43.42688,26.398155,530.7672
17,KOR,541.6289,528.1437,339.6077,46.136284,26.273285,528.1437
18,LUX,493.277,498.08606,294.57492,59.849594,27.53514,498.08606
19,MEX,384.86072,393.01047,262.77206,30.529327,-16.417322,393.01047
20,NLD,538.0611,537.5955,320.35587,40.220203,60.89306,537.5955
21,NOR,495.3505,525.85736,350.28003,42.611996,16.838928,525.85736
22,NZL,524.08344,510.0743,343.28235,37.464542,13.201054,510.0743
23,POL,490.10495,484.47827,310.94757,32.359734,25.044575,484.47827
24,PRT,466.13873,442.7582,292.81152,37.674892,-3.8546252,442.7582
25,SVK,498.62924,491.99442,329.32114,22.423222,24.123655,491.99442
26,SWE,509.5913,505.20847,331.34232,39.447548,18.292202,505.20847
27,TUR,423.7972,426.23557,287.25818,22.97401,-0.12302503,426.23557
28,USA,483.48856,500.64722,327.13254,49.630016,7.7582707,500.64722
